singers,lyric,title
Mỹ Tâm,"Bài hát: Ngày Đầu Tiên Đến Trường (Beat & Instrumental)  Ngày đầu tiên khi tôi bé thơ, nghe tiếng reo vui trong nắng mai, Lòng bỡ ngỡ khi tôi bước chân vô sân trường. Và quanh tôi như trong giấc mơ muôn sắc hoa khoe hương thắm tươi. Màu áo mới như trăm đóa hoa đang vui đùa. Nào ai ơi ai ơi biết chăng ? Bao niềm vui bao nhiêu ứơc mơ được tô thêm khi ta bước chân trong thiên Đường tuổi thơ ấy.này đầu tiên khi tôi bé thơ , Mẹ cầm tay tôi đưa đến cô hiền dịu thay nhưng sao bỗng dưng Tôi e sợ òa lên khóc: áh ! áh ah...không chịu đâu!  Và hôm nay khi tôi lớn lên, đã biết yêu thương muôn đóa hoa, Và hiên ngang đi qua khó khăn trong cuộc đời. Thời gian trôi nhanh như giấc mơ, mái tóc cô ko như lúc xưa, Tà áo trang nghiêm kia vẫn bay trong sân trưởng .  Nào ai ơi, ai ơi biết chăng ? Bao thầy cô năm xưa giúp ta Giờ vẫn đang đi trong nắng trưa nơi sân trường tuổi thơ ấy ! Ngày đầu tiên tôi luôn nhớ ghi, ơn thầy cô tôi đâu *** quên. Này đầu tiên tôi luôn khắc sâu trong tim mình Dù năm tháng như áng mây .. âm thầm trôi ",Ngày Đầu Tiên Đến Trường Beat
Mỹ Tâm,"Bài hát: Cô Bé Soi Gương - Mỹ Tâm  Lần đầu, cô bé soi gương, Thấy hai con mắt thất thường ngó ra Thì mình cũng giống người ta, Môi cười chúm chím, má hồng rất xinh. Soi gương nhìn thấy bóng mình, Tưởng rằng ai đó rập rình nhìn em. Ơ kìa má lúm đồng tiền, Cười ai như muốn làm duyên học trò. Ô kìa, cô bé soi gương, Lần đầu cô bé soi gương Ô kìa, cô bé soi gương, Thẹn thùng cô bé soi gương.  Lần đầu, cô bé soi gương, Tóc mai ươm nắng, nắng hồng vấn vương, Bụi hồng, chưa lấm môi thơm, Đuôi gà thắt bím, sao mà dễ thương. Soi gương nhìn thấy bóng mình, Tưởng rằng ai đó, trộm nhìn người ta. Người ta bé lắm, thật mà, Mỗi khi đang đến đừng ai trộm nhìn. Ô kìa, cô bé soi gương, Lần đầu cô bé soi gương Ô kìa, cô bé soi gương, Thẹn thùng cô bé soi gương. ",Cô Bé Soi Gương
Mỹ Tâm,Bài hát: Ra Đi - Mỹ Tâm  Ra đi ta rũ áo ra đi Ta rủ áo ra đi vì chuyện tình không còn gì Nhưng ta tràn nỗi nhớ Từ giã một ngày xong ta nghe lòng bàng hoàng Rồi ta sẽ mất mãi tiếc nhớ thôi.  Í anh í à.  Cuộc đời như thơ Cuộc đời như mơ Ta sống trong hững hờ.  Bâng khuâng ta theo gió mây trôi Lạc đến vơi đơn côi Và lòng buồn sao ngày dài Con tim nhiều thao thức Từ giã cuộc tình đi Ta nghe lòng thầm thì Buồn ơi nhớ mãi Tình với quá cao.  Í anh í à.  Người vừa cho ta Vội vàng cho ta Đôi xót xa.  Biết sẽ chẳng còn nữa đâu Tình tang tình tình Giọt sầu rơi rớt Bước oán càng hay Khóc trong lòng ta lòng ta.  Ta sẽ làm một đám mây Bay theo em ngày dài Tưởng như trong cổ tích Ôi ta nhớ em thật nhiều Ta nhớ em thật nhiều.  Ra đi ta rủ áo ra đi Ta rủ áo ra đi chỉ còn lại trong mộng mị Đêm đêm nằm thương nhớ Này hỡi tình ngày xưa Con tim giờ đã già Mà sao vẫn nhớ Tình mãi nhớ thôi.  Í anh í à.  Cuộc đời như thơ Cuộc đời như mơ Ta mãi trong hững hờ.  ,Ra Đi
Mỹ Tâm,"Bài Hát: Cô Gái Mắt Nâu - Mỹ Tâm  Một màu nâu nhỏ bé, đôi mắt em lặng trôi Từng đàn chim lặng ngắm cô gái mắt nâu dịu hiền Trời mây xanh lặng gió, chim hát ca với người Lời du dương người hát sẽ không bao giờ phai.  Ngày xưa ai thầm nhớ, mong ước trao nụ hôn Và muôn sao bừng cháy như cơn lốc xoáy giữa đêm thâu Lòng em khi sầu đến sóng ơi xô về đâu Còn lời ca điệu múa cho sắc hương bay mọi nơi.  Biết bao năm mong chờ biết bao mối tình si dại Biết bao con sông trăng đang chờ ai trên bến vắng Lắng nghe com tim dại khờ, lắng nghe tình dở dang Lắng nghe trái tim yêu nay tưởng chừng như hóa đá.  Dáng em soi bên hồ, bóng trăng sẽ ngừng trôi Thướt tha sắc hương xưa đang quyện vào nhau mãi mãi Hãy yêu nhau như hôm nào ta mới *** Hãy quên đi bao niềm cay đắng.  Và điều em thầm ước mãi bên nhau dài lâu Cùng đàn chim về tổ, ngày mai ra hát với thế gian Tình yêu như ngọn nến sáng lung linh ấm nồng Tình yêu như màu mắt em đang đón anh trở về. ",Cô Gái Mắt Nâu
Mỹ Tâm,"Bài Hát: Cô Gái Mắt Nâu - Mỹ Tâm  Một màu nâu nhỏ bé, đôi mắt em lặng trôi Từng đàn chim lặng ngắm cô gái mắt nâu dịu hiền Trời mây xanh lặng gió, chim hát ca với người Lời du dương người hát sẽ không bao giờ phai.  Ngày xưa ai thầm nhớ, mong ước trao nụ hôn Và muôn sao bừng cháy như cơn lốc xoáy giữa đêm thâu Lòng em khi sầu đến sóng ơi xô về đâu Còn lời ca điệu múa cho sắc hương bay mọi nơi.  Biết bao năm mong chờ biết bao mối tình si dại Biết bao con sông trăng đang chờ ai trên bến vắng Lắng nghe com tim dại khờ, lắng nghe tình dở dang Lắng nghe trái tim yêu nay tưởng chừng như hóa đá.  Dáng em soi bên hồ, bóng trăng sẽ ngừng trôi Thướt tha sắc hương xưa đang quyện vào nhau mãi mãi Hãy yêu nhau như hôm nào ta mới *** Hãy quên đi bao niềm cay đắng.  Và điều em thầm ước mãi bên nhau dài lâu Cùng đàn chim về tổ, ngày mai ra hát với thế gian Tình yêu như ngọn nến sáng lung linh ấm nồng Tình yêu như màu mắt em đang đón anh trở về. ",Cô Gái Mắt Nâu
Mỹ Tâm,Bài hát: Từ Giã Mùa Đông - Mỹ Tâm  Quê hương tôi từ miền xa thương nhớ. Xóm làng tôi nằm gần bến sông hiền. Trời hạ về nghe hồn thơ khao khát. Từng chiều vương thu vàng lá yêu thương. Trời lập đông mưa về trên áo mẹ. Dáng hao gầy vì mưa gió mùa đông. Mùa đông mùa đông mưa đầy trời đau nhói vai mẹ tôi. Mưa gió vô tình trôi niềm đau dâng đầy vơi  Mẹ ơi mùa đông bao lần rồi? thêm đắng cay mẹ thôi cho mắt khô lệ rơi Từ giã hỡi đông ơi Đông trôi theo nỗi lòng tôi ngơ ngác. Vắng người xưa từng chiều nhớ quay về. Lời hẹn thề chỉ còn trong xa vắng. Tàn mùa đông tôi là cánh chim đêm. Tìm bình yên nép vào vai áo mẹ. Ấm con nhiều mẹ run rét mùa đông. Mùa đông mùa đông mưa đầy trời đau nhói vai mẹ tôi. Mưa gió vô tình trôi niềm đau dâng đầy vơi Mẹ ơi mùa đông bao lần rồi? thêm đắng cay mẹ thôi cho mắt khô lệ rơi Từ giã hỡi đông ơi ,Từ Giã Mùa Đông
Mỹ Tâm,Bài hát: Tự Tình Mùa Xuân Ca sĩ: Mỹ Tâm  Và mùa xuân ấy em thấy vu vơ mộng mơ ngẩn ngơ Và rôi gặp anh chợt hiểu thầm kín bấy lâu mong chờ Ngày mình vừa *** với bao xuyến xao Ngọn lửa tình yêu cháy lên khát khao Ngại ngừng lời trao Lắm đêm không ngủ Những ngày xa vắng Anh viết riêng em Bài thơ nhớ nhung Giọt mật đầu tiên trìu mến đầm thấm ngất ngây tâm hồn Hẹn hò đầu tiên phút giây khó quên Kỉ niệm đầu tiên gốc cây khắc tên Chiều đẹp đầu tiên Có anh đưa về Tình nồng nàn Tình dân nguồn sống Hạnh phúc rong chơi địa đàng Tình nồng nàn Ngàn hoa nở thắm Cuộc đời còn ngỡ thêm xuân Anh hứa anh hứa vạn lời Anh sẽ yêu em trọn đời Sao vẫn e lắm đường về trong tình yêu Lòng hằng mong ước đôi lứa bên nhau bền câu sắc son Dòng thời gian đầy những cạm bẫy Biết sao khôn lường Đường vào tình yêu biết bao khó khăn Một lần dỡ dang trái tim nát tan Nguyện cầu tình ta Mãi xuân mặn mà tháng năm ngọc ngà  ,Tự Tình Mùa Xuân
"Phương Thanh,Mỹ Tâm","Bài Hát: Trả Nợ Tình Xa - Phương Thanh, Mỹ Tâm  Dốc hết tình này ta trả nợ người Dốc hết tình này ta trả nợ đời Trả hết tình tôi còn nợ không thôi Mắt đã mù lòa vì đợi tin xa Tóc dối bạc màu vì nợ yêu nhau Nào biết ngày sau trả nợ tình nhau.  Trả hết trả hết cho người Trả luôn mắt môi nụ cười Trả xong đời còn hư không Này gió gió bay về trời Này hoa sẽ rơi về cội Còn ta đường nào cho ta.  Em ơi em anh không thể Nuôi bao nhiêu yêu thương này Mhớ mong hoài Em ơi em anh không thể Nuôi bao nhiêu yêu thương này Chờ mong mãi.  Dốc hết tình này ta trả nợ người ""ốc hết tình này ta trả nợ đời Trả hết tình tôi còn nợ không thôi Mắt đã mù lòa vì đợi tin xa Tóc dối bạc màu vì nợ yêu nhau Nào biết ngày sau trả nợ tình nhau.  Trả hết trả hết cho người Trả luôn mắt môi nụ cười Trả xong đời còn hư không Này gió gió bay về trời Này hoa sẽ rơi về cội Còn ta đường nào cho ta.  Em ơi em anh không thể Nuôi bao nhiêu yêu thương này Nhớ mong hoài Em ơi em anh không thể Nuôi bao nhiêu yêu thương này Chờ mong Chờ mong mãi.  Trả hết trả hết cho người Trả luôn mắt môi nụ cười Trả xong đời còn hư không Này gió gió bay về trời Này hoa sẽ rơi về cội Còn ta đường nào cho ta. ",Trả Nợ Tình Xa
"Mỹ Tâm,Mỹ Linh,Hồng Nhung",Gió nhớ gì ngẩn ngơ ngoài hiên Mưa nhớ gì thì thầm ngoài hiên Bao đêm tôi đã một mình nhớ em Đêm nay tôi lại một mình.  Nhớ em vội vàng trong nắng trưa Áo phơi trời đổ cơn mưa Bâng khuâng con đang con nhỏ Tan ca bố có đón đưa.  Nhớ em giọt mồ hôi tóc mai Gió sương mòn cả hai vai Đôi chân chênh vênh con đường nhỏ Nghiêng nghiêng bóng em gầy.  Vắng em còn lại tôi với tôi Lá khô mùa này lại rơi Thương em mênh mông chân trời lạ Bơ vơ chốn xa xôi.  Vắng em đời còn ai với ai Ngất ngây men rượu say Đêm đêm liêu xiêu con đường nhỏ Cô đơn cùng với tôi về. ,Một Mình
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Mưa Mãi Xa do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Mưa Mãi Xa
"Mỹ Tâm,Tuấn Hưng",Bài hát: Yêu Dấu Đã Về Đâu - Mỹ Tâm  Này em về đây có nhau giây phút này Cho ta quên đi tháng ngày Từ lâu lòng ta thầm ước mong Em trở về cho cuộc đời bớt cằn khô.  Cho ta quên hết những nỗi phiền lo Cho ta quên đi bao ngày giông tố. Xin cho vơi hết đắng cay trần gian Đón lấy yêu thương khắp nơi tràn lan.  Xin như áng mây ngàn trôi đi chẳng hoang mang Bao năm tháng hoang tàn trôi trên cánh tay ngoan. Khi yêu dấu đã về cho ta sống đam mê Quên hết não nề bao nỗi ê chề Nay tái sinh về qua giấc ngủ mê.  Xin như áng mây ngàn trôi đi chẳng hoang mang Bao năm tháng hoang tàn trôi trên cánh tay ngoan Khi yêu dấu đã về cho ta sống đam mê Quên hết não nề bao nỗi ê chề Nay tái sinh về qua giấc ngủ mê. ,Yêu Dấu Đã Về
Mỹ Tâm,Bài hát: Đêm bình yên - Mỹ Tâm  1. Màn đêm với bóng tối bao quanh đất trời Đời xa mãi như muôn vì sao Ngày vui dẫu có hết qua bao ân tình Đời phục sinh ta sống vui trần gian.  [ĐK 1:] Ngày thiên chúa giáng thế đi qua bao gian nan Thời gian xóa khốn khó cho muôn nơi yên vui Người luôn sống kiếp sống mong cho yên bình Một đêm giáng sinh bình yên.  2. Trời xa vút thắp sáng không gian cao vời Ngàn đời vẫn bên nhau ngày vui Bình minh đến lúc sáng đêm tàn nhân hòa Cùng thời gian kia xóa ưu phiền thôi.  [ĐK 2:] Trời sẽ mãi ấm áp vui trên nhân gian Mừng thiên chúa giáng thế ta hân hoan yên vui ngày sau đã đến mãi luôn cho yên bình Một đêm giáng sinh bình yên Yên vui giáng sinh ,Đêm Bình Yên
Mỹ Tâm,"Bài hát: Còn Có Nhau - Mỹ Tâm  Thời gian trôi, tháng ngày qua dần Người cùng ta bao nỗi lo Vẫn biết thế nên cần có nhau Trong con tim, trong tình người.  Một ngày kia nào ai có hay Chợt đôi khi nghe khổ đau Hãy nhớ ta luôn ở bên người Ta có nhau mãi trong đời.  Nhớ đến nhau, ngày tháng dài có nhau Khúc ca dao, thuở bé thơ mẹ ru Qua nắng mưa, cây cao giờ đành ngả bóng Nhớ đến nhau, còn có nhau người ơi. ",Còn Có Nhau
Mỹ Tâm,"Bài Hát: Bông Hồng Cài Áo - Mỹ Tâm  Đẹp thay bông hồng cài trên áo trắng Một biểu trưng tình yêu rất chân thành Cho những ai còn mái tóc xuân xanh Trong giấc mơ an lành em gọi ""má""  Tình mẹ hiền ngàn năm cao cả Đời suy biến tình kia khó phai nhòa Trên nét môi ngày kia sẽ phôi pha Cho những ai không còn áo cài hoa  Công ơn biển trời nguyện ghi suốt đời Nghìn trùng không tát cho vơi Mai sau bể cạn và dù núi mòn Nhưng vẫn còn tình mẹ với con  Mừng cho ai còn cài hoa trên áo Hạnh phúc thay hồng trên má hoa đào Như nước trong nguồn mãi mãi tuôn ra Như tiếng ru mẹ hiền giữa đời ta ",Bông Hồng Cài Áo
Mỹ Tâm,Bài hát: Từ Giã Mùa Đông - Mỹ Tâm  Quê hương tôi từ miền xa thương nhớ. Xóm làng tôi nằm gần bến sông hiền. Trời hạ về nghe hồn thơ khao khát. Từng chiều vương thu vàng lá yêu thương. Trời lập đông mưa về trên áo mẹ. Dáng hao gầy vì mưa gió mùa đông. Mùa đông mùa đông mưa đầy trời đau nhói vai mẹ tôi. Mưa gió vô tình trôi niềm đau dâng đầy vơi  Mẹ ơi mùa đông bao lần rồi? thêm đắng cay mẹ thôi cho mắt khô lệ rơi Từ giã hỡi đông ơi Đông trôi theo nỗi lòng tôi ngơ ngác. Vắng người xưa từng chiều nhớ quay về. Lời hẹn thề chỉ còn trong xa vắng. Tàn mùa đông tôi là cánh chim đêm. Tìm bình yên nép vào vai áo mẹ. Ấm con nhiều mẹ run rét mùa đông. Mùa đông mùa đông mưa đầy trời đau nhói vai mẹ tôi. Mưa gió vô tình trôi niềm đau dâng đầy vơi Mẹ ơi mùa đông bao lần rồi? thêm đắng cay mẹ thôi cho mắt khô lệ rơi Từ giã hỡi đông ơi ,Từ Giã Mùa Đông
Mỹ Tâm,"Bầu trời Tổ quốc mến yêu ơi. Cho tôi đi giữa nắng mặt trời. Từng ngày đã qua, rộn ràng tiếng ca. Xóa tan những đêm dài u tối. Từng dòng máu nóng vẫn trong tim. Mang theo bao ước muốn dâng đời. Mặt trời sẽ lên đàn chi hót vang. Cho tôi yêu quê hương Việt Nam. Việt Nam lớp lớp người xông pha. Đem máu xương tô thắm màu cờ quê hương. Việt Nam từng bàn tay nắm lấy bàn tay. Cho trái tim này, cho ước mơ này rực rỡ bốn ngàn năm. Bốn ngàn năm đã qua Con cháu Tiên Rồng viết tiếp bài ca. Bốn ngàn năm đã qua đâu đây còn nghe từng hồi trống vang xa. Bốn ngàn năm đã qua soi dấu muôn đời lớp lớp người xông pha. Bốn ngàn năm đã qua trang sử muôn đời rực rỡ gấm hoa. ",4000 Năm Rực Rỡ Gấm Hoa
"Mỹ Tâm,Tuấn Hưng,Minh Tú","Ôi có đôi khi thèm như gió đi hoang Sống kiếp lang thang, dạo chơi khắp núi rừng Rũ lá rơi vàng, về thăm biển mênh mông Vượt ngọn sóng dâng tràn Ta là gió trên ngàn.  Ôi phải chi ta là con suối sông kia Sống kiếp giang hồ, dạo chơi hết bến bờ Để có tiếng chim và em mãi ngây thơ Ta đâu biết mong chờ Ta thôi hết vật vờ.  Ôi có đôi khi thèm như lúc tuổi thơ Sáng sáng tung tăng, đùa vui hát vang lừng Chẳng biết suy tư đời kia vấn vương gì Rồi chiều tới mơ màng Đợi chờ sáng tưng bừng.  Ôi có đôi khi nằm nghe những cơn mưa Muốn sống cô đơn cùng chăn ấm trong phòng Chỉ thấy mái hiên và ta đứng co ro Buồn nhả khói lên trời Lòng nhịp rối tơi bời.  Ôi có đôi khi thèm như những con chim Cứ hót líu lo rồi tung cánh lên trời Đến đến đảo hoang, tìm nơi vắng bóng người Rồi cười nói một mình Và lặng khóc một mình. ",Có Đôi Khi
Mỹ Tâm,"Bài hát: Tiếng Lòng Xao Động Ca sĩ: Mỹ Tâm  Vẫn mãi mãi tiếng anh (anh yêu em), Nụ cười và ánh mắt anh (không hề phai). Vẫn mãi mãi đắm say (dù ra sao), chuyện tình dịu êm thiết tha (anh vẫn yêu em)  Dịu dàng như cơn gió thoáng hương nhẹ bay ngất ngây lòng em, say đời em tình ơi thương nhớ, đường về bỗng gần hơn, có trong lòng em tiếng yêu từ đây, ru lòng em nồng nàn ngầt ngây  Tiếng anh vấn vương, mắt môi ngập ngừng e ấp. Hỡi ai mới yêu đã yêu, tình có chơi vơi  Vẫn mãi mãi tiếng yêu trong em, và nụ cười rạng rỡ đắm say. Vẫn mãi mãi tiếng anh thơ ngây, tình một lần tình không đổi thay  Vẫn mãi nhớ tiếng anh, nụ cười và ánh mắt anh. Vẫn mãi mãi đắm say, tình một lần mãi ngất ngây ",Tiếng Lòng Xao Động
Mỹ Tâm,"Bài Hát: Thành Phố Tình Yêu Và Nỗi Nhớ - Mỹ Tâm  Có từ bao giờ hàng me xanh ngát Mà nay đứng đó cho em làm thơ Con đường ta qua đến nay bao tuổi Em qua trăm buổi em là ngàn lần Mà sao bối rối khi cầm tay nhau  Em ơi hãy lắng nghe Em ơi hãy lắng nghe, nghe thành phố thở Bằng tiếng sóng vỗ dưới những thân tàu Bằng hương rừng già trên vai bộ đội Bằng hương đồng nội thanh niên xung phong Bằng những tấm lòng chờ mong, chờ mong Em ơi hãy lắng nghe Em ơi hãy lắng nghe, nghe thành phố thở Bằng đôi chim nhỏ bay giữa bầu trời Bằng bao nụ cười nghiêng nghiêng chờ đợi Bằng hoa phượng đỏ thương ai trao ai Yêu lắm cuộc đời ta xây tương lai  Dù nơi chiến trường xa nhiều gian khổ Vẫn đập trong lòng trái tim thành phố Như là cuộc sống như là tình yêu và nỗi nhớ Suốt đời, suốt đời mang theo  ",Thành Phố Tình Yêu Và Nỗi Nhớ
Mỹ Tâm,Bài Hát: Hurt So Much Trình Bày: Mỹ Tâm Lyirics By Wen1000_Thich999_Yeu1  Heard a million stories about love Some were good some were bad I found out if you hold on too tight You might lose everything you have Didn't think my heart could easily break When you fall in love that's a chance you take Now I know From these lessons that I learned from loving you Chorus: I know that everybody makes mistakes I hope you still believe it's not too late  Cause I don't care about what people think or say I'd rather take a chance with you I'd rather be in love than be alone  But I never knew that love could hurt so much Ummmm ohhhh So much  I found it in my heart to forgive But its hard to forget Cause everyday the vision creeps in Of you and somebody else All my girls told me that you'd go But I know that one I still love you so I'll hold on Till I gain back the trust that I had in you I know that everybody makes mistakes I hope you still believe its not too late Cause I don't care about what people think or say I'd rather take a chance with you I'd rather be in love than be alone  But I never knew that love could hurt so much It's killing me but I'll get over it But I made my commitment to you Even though its gonna leave a scar Can't ever change what's in my heart (oh no) I'll do whatever to stay together ohhhhhhh  I know that everybody makes mistakes (yes I know hurt me so) I hope you still believe it's not too late (it's not too late) Cause I don't care about what people think or say (or say) I'd rather take a chance with you I'd rather be in love than be alone I know that everybody makes mistakes (hope you do) I hope you still believe it's not too late (people think or say what they want to  say) Cause I don't care about what people think or say (hurts so bad) I'd rather take a chance with you I'd rather be in love than be alone But I never knew that love could hurt so so much  ,Hurt So Much
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Gặp Em Trên Phố do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Gặp Em Trên Phố
Mỹ Tâm,Bài hát: Xuống Phố Mùa Thu - Mỹ Tâm  Chiều nay ra phố nghe mùa Thu về ngập ngừng tiếng mưa rơi rơi nhẹ vai áo Chiều nay ra phố lá vàng rơi đầy tựa tà áo bay bâng khuâng kín khung trời  Em nghe mùa Thu nói em nghe mùa Thu cười có chiếc lá vấn vương cuối đường Nghe mơ hồ thương nhớ nghe mơ hồ mong chờ từng kỷ niệm ngày nào ghé thăm  Trăm năm mùa Thu hát tan ra cả đất trời gió bước xuống em đón mời Cho tim mình xao xuyến cho tim mình mơ mộng Thu ơi Thu về đây với em. ,Xuống Phố Mùa Thu
Mỹ Tâm,- Hiện chưa có lời bài hát nào cho Mùa Xuân Ơi Mùa Xuân Beat do ca sĩ Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ,Mùa Xuân Ơi Mùa Xuân Beat
"Mỹ Tâm,Tuấn Khoa","Bài Hát: Mưa Tình - Mỹ Tâm, Tuấn Khoa  Chiều nay vắng anh, Mưa rơi ngoài sân rất buồn, Nhìn hoa lá rơi em thầm nhớ Em xa mãi như mây cuối trời Lãng du trong... lãng... quên.  Ngày mai nắng lên Biết chăng niềm đau sẽ còn Dù anh thoáng qua vẫn chờ đó Như hoa lá khi xanh lúc tàn Vẫn trong tim hồng hoa cuộc tình  Đi trong thời gian Dấu chân cuộc đời Sẽ có lúc vui buồn mưa nắng Nhiều người đi qua giấc mơ Nhiều người qua như bóng mây Vùi tình yêu trong đáy tim thật sâu.  Anh mơ ngày mai, bước em trở về Với những cánh hoa cười trong nắng Tình buồn kia thôi sẽ qua Niềm đau kia xin vỡ tan Rồi cơn mưa kia bỗng xanh lại mùa xuân. ",Mưa Tình
"Mỹ Tâm,Tuấn Hưng","- Hiện chưa có lời bài hát nào cho Xin Chào Ngày Mới (Live) do ca sĩ Mỹ Tâm , Tuấn Hưng trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Xin Chào Ngày Mới (Live)
Mỹ Tâm,Bài hát: Hương Thu - Mỹ Tâm  Thu về trên bãi cỏ Hương bay qua tóc mềm Em về trên lối nhỏ Nhớ tên những người ***  Thu về trên đỉnh nhớ Hương đi qua cuộc đời Em gặp lời thơ cũ Tình pha chút ngậm ngùi  Thu hờn hoa lá rụng Hương vương một gốc trời Anh nửa đời phiêu bạc Với mảnh hồn tả tơi  Giữa chiều thu vừa tới Hương thơm trên môi cười Anh dặn lòng sám hối Cỏ hoang dấu chân chiều Thu nghiêng cành hoa cũ Thu bâng khuâng lá vàng Linh hồn anh sỏi đá Hằn sâu những vết sầu  Hương suốt mùa lang thang Hương phai trong mắt buồn Hương chìm trong cơn đau Hương rủ cánh tương tư ,Hương Thu
"Mỹ Tâm,Mắt Ngọc","- Hiện chưa có lời bài hát nào cho Nhớ Cánh Chim Xưa do ca sĩ Mỹ Tâm , Mắt Ngọc trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Nhớ Cánh Chim Xưa
"Mỹ Tâm,Mắt Ngọc","- Hiện chưa có lời bài hát nào cho Nhớ Cánh Chim Xưa do ca sĩ Mỹ Tâm , Mắt Ngọc trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Nhớ Cánh Chim Xưa
"Mỹ Tâm,Leon,Quang Lê","- Hiện chưa có lời bài hát nào cho Ru Em Bằng Tiếng Sóng do ca sĩ Mỹ Tâm , Leon , Quang Lê trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Ru Em Bằng Tiếng Sóng
Mỹ Tâm,Bài hát: Hát Cho Anh Và Mùa Xuân - Mỹ Tâm  Chợt nghe mùa xuân mùa xuân ghé qua Nhà ai chiều nay chiều nay bỗng vui Nhìn em đến trong đời ngồi em hát bên trời Hát cho anh và cho mùa xuân về đây  Mừng nhau một năm một năm mới sang Đàn em đùa vui ngoài sân sáng nay Người ơi hãy quay về nhìn mai nở bên thềm Hát bên mùa xuân cùng em  Nào mình cùng xuống phố ngắm mùa xuân vừa sang Xin cho nhau tình yêu ngất ngây đêm này Ngoài thềm nhà mai nở hay trao nhau nụ hôn Mong cho xuân đừng sang anh đừng đi  Nào mình cùng ca hát dưới nhà ai đầy hoa Tay trong tay bình yên bước qua con đường Và nụ hồng như hé đón tình yêu về đây Em sẽ hát cho anh và hát cho mùa xuân ,Hát Cho Anh Và Mùa Xuân
Mỹ Tâm,Bài Hát: MMùa Xuân Ơi Mùa Xuân - Mỹ Tâm  Hãy đến mùa xuân ơi Cho nụ cười càng thêm trong sáng Thắm thiết tình yêu thương Bên bạn bè bên những em thơ  Một cơn gió thoáng theo xuân gọi về Ngoài hiên tia nắng ban mai dịu dàng Cùng theo năm tháng xa xa trở về Mừng mùa xuân đến  Nụ hoa chiếc lá xôn xao nhè nhẹ Dòng sông êm ái trôi nhanh gần đều Loài chim cất tiếng yêu thương một ngày Mùa xuân có hay  ĐK: Hãy đến mùa xuân ơi Cho nụ cười càng thêm trong sáng Thắm thiết tình yêu thương Bên bạn bè bên những em thơ  Hãy đến mùa xuân ơi Trong nụ cười và trong ánh mắt Vẫn mãi ngày xuân xanh Như từng ngày bên những yêu thương  Mùa xuân hoa nở hương thơm ngào ngạt Từ trong góc phố trao nhau nụ cười Hoà trong khúc hát thân thương hiền hoà Mùa xuân có nhớ  Nhìn ai đôi mắt trao nhau kỷ niệm Tựa như chiếc lá xanh xanh dịu hiền Tìm trong cơn gió theo xuân trở về Mùa xuân có hay  ,Mùa Xuân Ơi! Mùa Xuân
Mỹ Tâm,Bài hát: Sài Gòn Trong Tim Tôi - Mỹ Tâm  Khi xa Sài Gòn lòng tôi bổng nhớ Những con đường thân *** Khi xa Sài Gòn lòng tôi bổng nhớ Nhớ những chiều bên em Sài Gòn chiều mưa ai đưa em về Đọng lại trong tôi bâng khuâng dáng xưa  Sài Gòn của tôi con tim bồi hồi Một thời để yêu một thời để nhớ Sài Gòn ơi Sài Gòn Mỗi lúc đi xa lòng càng thương nhớ ơ hờ Sài Gòn ơi Sài Gòn Đôi mắt ai chờ bồi hồi vương vấn tim tôi Sài Gòn ơi Sài Gòn Mỗi lúc đi xa lòng càng thương nhớ ơ hờ Sài Gòn ơi Sài Gòn Đôi mắt ai chờ bồi hồi vương vấn tim tôi  Khi xa Sài Gòn lòng tôi bổng nhớ Những con đường thân *** Khi xa Sài Gòn lòng tôi bổng nhớ Nhớ những chiều bên em Sài Gòn chờ ai bên ly chanh đường Một cà phê *** bâng khuâng tiếng xưa Sài Gòn chiều mưa lênh đênh phận người Kỷ niệm đầy vơi người ơi có nhớ ,Sài Gòn Trong Tim Tôi
Mỹ Tâm,Bài hát: Xin Đời Cho Có Đôi - Mỹ Tâm  Chỉ là như thế anh đi Chỉ là như thế em đi Chỉ là như thế sương rơi tràn mi.  Chỉ là câu hát trên môi Chỉ là đôi mắt xa xôi Chỉ là như thế sao anh thương hoài.  Ngày xưa bình yên từng tiếng cười Cầm tay mình chung một lối về Em không còn đơn côi.  Đời không bình yên từng tiếng đàn Mùa thu còn rơi nhiều lá vàng Nghe tình yêu xa mãi.  Người đi tìm mua một tiếng cười Màn nhung ngoài kia vừa khép rồi Em đi về bên tôi.  Ngày mai mình quên một nỗi buồn Ngày mai mình yêu người cuối cùng Xin đời cho ta có đôi. ,Xin Đời Cho Có Đôi
